gene_id	gene_name	gene_name_2	gene_type
ENSG00000003400	ENSG00000003400	CASP10	CASP10:ENSG00000003400	protein_coding
ENSG00000003402	ENSG00000003402	CFLAR	CFLAR:ENSG00000003402	protein_coding
ENSG00000003436	ENSG00000003436	TFPI	TFPI:ENSG00000003436	protein_coding
ENSG00000003509	ENSG00000003509	NDUFAF7	NDUFAF7:ENSG00000003509	protein_coding
ENSG00000003756	ENSG00000003756	RBM5	RBM5:ENSG00000003756	protein_coding
ENSG00000003987	ENSG00000003987	MTMR7	MTMR7:ENSG00000003987	protein_coding
ENSG00000003989	ENSG00000003989	SLC7A2	SLC7A2:ENSG00000003989	protein_coding
ENSG00000004059	ENSG00000004059	ARF5	ARF5:ENSG00000004059	protein_coding
ENSG00000004139	ENSG00000004139	SARM1	SARM1:ENSG00000004139	protein_coding
ENSG00000004142	ENSG00000004142	POLDIP2	POLDIP2:ENSG00000004142	protein_coding
ENSG00000004399	ENSG00000004399	PLXND1	PLXND1:ENSG00000004399	protein_coding
ENSG00000004455	ENSG00000004455	AK2	AK2:ENSG00000004455	protein_coding
ENSG00000004468	ENSG00000004468	CD38	CD38:ENSG00000004468	protein_coding
ENSG00000004478	ENSG00000004478	FKBP4	FKBP4:ENSG00000004478	protein_coding
ENSG00000004487	ENSG00000004487	KDM1A	KDM1A:ENSG00000004487	protein_coding
ENSG00000004534	ENSG00000004534	RBM6	RBM6:ENSG00000004534	protein_coding
ENSG00000004660	ENSG00000004660	CAMKK1	CAMKK1:ENSG00000004660	protein_coding
ENSG00000004700	ENSG00000004700	RECQL	RECQL:ENSG00000004700	protein_coding
ENSG00000004766	ENSG00000004766	VPS50	VPS50:ENSG00000004766	protein_coding
ENSG00000004776	ENSG00000004776	HSPB6	HSPB6:ENSG00000004776	protein_coding
ENSG00000004777	ENSG00000004777	ARHGAP33	ARHGAP33:ENSG00000004777	protein_coding
ENSG00000004779	ENSG00000004779	NDUFAB1	NDUFAB1:ENSG00000004779	protein_coding
ENSG00000004799	ENSG00000004799	PDK4	PDK4:ENSG00000004799	protein_coding
ENSG00000004809	ENSG00000004809	SLC22A16	SLC22A16:ENSG00000004809	protein_coding
ENSG00000004838	ENSG00000004838	ZMYND10	ZMYND10:ENSG00000004838	protein_coding
ENSG00000004846	ENSG00000004846	ABCB5	ABCB5:ENSG00000004846	protein_coding
ENSG00000004848	ENSG00000004848	ARX	ARX:ENSG00000004848	protein_coding
ENSG00000004864	ENSG00000004864	SLC25A13	SLC25A13:ENSG00000004864	protein_coding
ENSG00000004866	ENSG00000004866	ST7	ST7:ENSG00000004866	protein_coding
ENSG00000004897	ENSG00000004897	CDC27	CDC27:ENSG00000004897	protein_coding
ENSG00000004939	ENSG00000004939	SLC4A1	SLC4A1:ENSG00000004939	protein_coding
ENSG00000004948	ENSG00000004948	CALCR	CALCR:ENSG00000004948	protein_coding
ENSG00000004961	ENSG00000004961	HCCS	HCCS:ENSG00000004961	protein_coding
ENSG00000004975	ENSG00000004975	DVL2	DVL2:ENSG00000004975	protein_coding
ENSG00000005001	ENSG00000005001	PRSS22	PRSS22:ENSG00000005001	protein_coding
ENSG00000005007	ENSG00000005007	UPF1	UPF1:ENSG00000005007	protein_coding
ENSG00000005020	ENSG00000005020	SKAP2	SKAP2:ENSG00000005020	protein_coding
ENSG00000005022	ENSG00000005022	SLC25A5	SLC25A5:ENSG00000005022	protein_coding
ENSG00000005059	ENSG00000005059	MCUB	MCUB:ENSG00000005059	protein_coding
ENSG00000005073	ENSG00000005073	HOXA11	HOXA11:ENSG00000005073	protein_coding
ENSG00000005075	ENSG00000005075	POLR2J	POLR2J:ENSG00000005075	protein_coding
ENSG00000005100	ENSG00000005100	DHX33	DHX33:ENSG00000005100	protein_coding
ENSG00000005102	ENSG00000005102	MEOX1	MEOX1:ENSG00000005102	protein_coding
ENSG00000005108	ENSG00000005108	THSD7A	THSD7A:ENSG00000005108	protein_coding
ENSG00000005156	ENSG00000005156	LIG3	LIG3:ENSG00000005156	protein_coding
ENSG00000005175	ENSG00000005175	RPAP3	RPAP3:ENSG00000005175	protein_coding
ENSG00000005187	ENSG00000005187	ACSM3	ACSM3:ENSG00000005187	protein_coding
ENSG00000005189	ENSG00000005189	REXO5	REXO5:ENSG00000005189	protein_coding
ENSG00000005194	ENSG00000005194	CIAPIN1	CIAPIN1:ENSG00000005194	protein_coding
ENSG00000005206	ENSG00000005206	SPPL2B	SPPL2B:ENSG00000005206	protein_coding
ENSG00000005238	ENSG00000005238	FAM214B	FAM214B:ENSG00000005238	protein_coding
ENSG00000005243	ENSG00000005243	COPZ2	COPZ2:ENSG00000005243	protein_coding
ENSG00000005249	ENSG00000005249	PRKAR2B	PRKAR2B:ENSG00000005249	protein_coding
ENSG00000005302	ENSG00000005302	MSL3	MSL3:ENSG00000005302	protein_coding
ENSG00000005339	ENSG00000005339	CREBBP	CREBBP:ENSG00000005339	protein_coding
ENSG00000005379	ENSG00000005379	TSPOAP1	TSPOAP1:ENSG00000005379	protein_coding
ENSG00000005381	ENSG00000005381	MPO	MPO:ENSG00000005381	protein_coding
ENSG00000005421	ENSG00000005421	PON1	PON1:ENSG00000005421	protein_coding
ENSG00000005436	ENSG00000005436	GCFC2	GCFC2:ENSG00000005436	protein_coding
ENSG00000005448	ENSG00000005448	WDR54	WDR54:ENSG00000005448	protein_coding
ENSG00000005469	ENSG00000005469	CROT	CROT:ENSG00000005469	protein_coding
ENSG00000005471	ENSG00000005471	ABCB4	ABCB4:ENSG00000005471	protein_coding
ENSG00000005483	ENSG00000005483	KMT2E	KMT2E:ENSG00000005483	protein_coding
ENSG00000005486	ENSG00000005486	RHBDD2	RHBDD2:ENSG00000005486	protein_coding
ENSG00000005513	ENSG00000005513	SOX8	SOX8:ENSG00000005513	protein_coding
ENSG00000005700	ENSG00000005700	IBTK	IBTK:ENSG00000005700	protein_coding
ENSG00000005801	ENSG00000005801	ZNF195	ZNF195:ENSG00000005801	protein_coding
ENSG00000005810	ENSG00000005810	MYCBP2	MYCBP2:ENSG00000005810	protein_coding
ENSG00000005812	ENSG00000005812	FBXL3	FBXL3:ENSG00000005812	protein_coding
ENSG00000005844	ENSG00000005844	ITGAL	ITGAL:ENSG00000005844	protein_coding
ENSG00000005882	ENSG00000005882	PDK2	PDK2:ENSG00000005882	protein_coding
ENSG00000005884	ENSG00000005884	ITGA3	ITGA3:ENSG00000005884	protein_coding
ENSG00000005889	ENSG00000005889	ZFX	ZFX:ENSG00000005889	protein_coding
ENSG00000005893	ENSG00000005893	LAMP2	LAMP2:ENSG00000005893	protein_coding
ENSG00000005961	ENSG00000005961	ITGA2B	ITGA2B:ENSG00000005961	protein_coding
ENSG00000005981	ENSG00000005981	ASB4	ASB4:ENSG00000005981	protein_coding
ENSG00000006007	ENSG00000006007	GDE1	GDE1:ENSG00000006007	protein_coding
ENSG00000006015	ENSG00000006015	REX1BD	REX1BD:ENSG00000006015	protein_coding
ENSG00000006016	ENSG00000006016	CRLF1	CRLF1:ENSG00000006016	protein_coding
ENSG00000006025	ENSG00000006025	OSBPL7	OSBPL7:ENSG00000006025	protein_coding
ENSG00000006042	ENSG00000006042	TMEM98	TMEM98:ENSG00000006042	protein_coding
ENSG00000006047	ENSG00000006047	YBX2	YBX2:ENSG00000006047	protein_coding
ENSG00000006059	ENSG00000006059	KRT33A	KRT33A:ENSG00000006059	protein_coding
ENSG00000006062	ENSG00000006062	MAP3K14	MAP3K14:ENSG00000006062	protein_coding
ENSG00000006071	ENSG00000006071	ABCC8	ABCC8:ENSG00000006071	protein_coding
ENSG00000006116	ENSG00000006116	CACNG3	CACNG3:ENSG00000006116	protein_coding
ENSG00000006118	ENSG00000006118	TMEM132A	TMEM132A:ENSG00000006118	protein_coding
ENSG00000006125	ENSG00000006125	AP2B1	AP2B1:ENSG00000006125	protein_coding
ENSG00000006128	ENSG00000006128	TAC1	TAC1:ENSG00000006128	protein_coding
ENSG00000006194	ENSG00000006194	ZNF263	ZNF263:ENSG00000006194	protein_coding
ENSG00000006210	ENSG00000006210	CX3CL1	CX3CL1:ENSG00000006210	protein_coding
ENSG00000006282	ENSG00000006282	SPATA20	SPATA20:ENSG00000006282	protein_coding
ENSG00000006283	ENSG00000006283	CACNA1G	CACNA1G:ENSG00000006283	protein_coding
ENSG00000006327	ENSG00000006327	TNFRSF12A	TNFRSF12A:ENSG00000006327	protein_coding
ENSG00000006377	ENSG00000006377	DLX6	DLX6:ENSG00000006377	protein_coding
ENSG00000006432	ENSG00000006432	MAP3K9	MAP3K9:ENSG00000006432	protein_coding
ENSG00000006451	ENSG00000006451	RALA	RALA:ENSG00000006451	protein_coding
ENSG00000006453	ENSG00000006453	BAIAP2L1	BAIAP2L1:ENSG00000006453	protein_coding
ENSG00000006459	ENSG00000006459	KDM7A	KDM7A:ENSG00000006459	protein_coding
ENSG00000006468	ENSG00000006468	ETV1	ETV1:ENSG00000006468	protein_coding
ENSG00000006530	ENSG00000006530	AGK	AGK:ENSG00000006530	protein_coding
ENSG00000006534	ENSG00000006534	ALDH3B1	ALDH3B1:ENSG00000006534	protein_coding
ENSG00000006555	ENSG00000006555	TTC22	TTC22:ENSG00000006555	protein_coding
ENSG00000006576	ENSG00000006576	PHTF2	PHTF2:ENSG00000006576	protein_coding
ENSG00000006606	ENSG00000006606	CCL26	CCL26:ENSG00000006606	protein_coding
ENSG00000006607	ENSG00000006607	FARP2	FARP2:ENSG00000006607	protein_coding
ENSG00000006611	ENSG00000006611	USH1C	USH1C:ENSG00000006611	protein_coding
ENSG00000006625	ENSG00000006625	GGCT	GGCT:ENSG00000006625	protein_coding
ENSG00000006634	ENSG00000006634	DBF4	DBF4:ENSG00000006634	protein_coding
ENSG00000006638	ENSG00000006638	TBXA2R	TBXA2R:ENSG00000006638	protein_coding
ENSG00000006652	ENSG00000006652	IFRD1	IFRD1:ENSG00000006652	protein_coding
ENSG00000006659	ENSG00000006659	LGALS14	LGALS14:ENSG00000006659	protein_coding
ENSG00000006695	ENSG00000006695	COX10	COX10:ENSG00000006695	protein_coding
ENSG00000006704	ENSG00000006704	GTF2IRD1	GTF2IRD1:ENSG00000006704	protein_coding
ENSG00000006712	ENSG00000006712	PAF1	PAF1:ENSG00000006712	protein_coding
ENSG00000006715	ENSG00000006715	VPS41	VPS41:ENSG00000006715	protein_coding
ENSG00000006740	ENSG00000006740	ARHGAP44	ARHGAP44:ENSG00000006740	protein_coding
ENSG00000006744	ENSG00000006744	ELAC2	ELAC2:ENSG00000006744	protein_coding
ENSG00000006747	ENSG00000006747	SCIN	SCIN:ENSG00000006747	protein_coding
ENSG00000006756	ENSG00000006756	ARSD	ARSD:ENSG00000006756	protein_coding
ENSG00000006757	ENSG00000006757	PNPLA4	PNPLA4:ENSG00000006757	protein_coding
ENSG00000006788	ENSG00000006788	MYH13	MYH13:ENSG00000006788	protein_coding
ENSG00000006831	ENSG00000006831	ADIPOR2	ADIPOR2:ENSG00000006831	protein_coding
ENSG00000006837	ENSG00000006837	CDKL3	CDKL3:ENSG00000006837	protein_coding
ENSG00000007001	ENSG00000007001	UPP2	UPP2:ENSG00000007001	protein_coding
ENSG00000007038	ENSG00000007038	PRSS21	PRSS21:ENSG00000007038	protein_coding
ENSG00000007047	ENSG00000007047	MARK4	MARK4:ENSG00000007047	protein_coding
ENSG00000007062	ENSG00000007062	PROM1	PROM1:ENSG00000007062	protein_coding
ENSG00000007080	ENSG00000007080	CCDC124	CCDC124:ENSG00000007080	protein_coding
ENSG00000007129	ENSG00000007129	CEACAM21	CEACAM21:ENSG00000007129	protein_coding
ENSG00000007168	ENSG00000007168	PAFAH1B1	PAFAH1B1:ENSG00000007168	protein_coding
ENSG00000007171	ENSG00000007171	NOS2	NOS2:ENSG00000007171	protein_coding
ENSG00000007174	ENSG00000007174	DNAH9	DNAH9:ENSG00000007174	protein_coding
ENSG00000007202	ENSG00000007202	KIAA0100	KIAA0100:ENSG00000007202	protein_coding
ENSG00000007216	ENSG00000007216	SLC13A2	SLC13A2:ENSG00000007216	protein_coding
ENSG00000007237	ENSG00000007237	GAS7	GAS7:ENSG00000007237	protein_coding
ENSG00000007255	ENSG00000007255	TRAPPC6A	TRAPPC6A:ENSG00000007255	protein_coding
ENSG00000007264	ENSG00000007264	MATK	MATK:ENSG00000007264	protein_coding
ENSG00000007306	ENSG00000007306	CEACAM7	CEACAM7:ENSG00000007306	protein_coding
ENSG00000007312	ENSG00000007312	CD79B	CD79B:ENSG00000007312	protein_coding
ENSG00000007314	ENSG00000007314	SCN4A	SCN4A:ENSG00000007314	protein_coding
ENSG00000007341	ENSG00000007341	ST7L	ST7L:ENSG00000007341	protein_coding
ENSG00000007350	ENSG00000007350	TKTL1	TKTL1:ENSG00000007350	protein_coding
ENSG00000007372	ENSG00000007372	PAX6	PAX6:ENSG00000007372	protein_coding
ENSG00000007376	ENSG00000007376	RPUSD1	RPUSD1:ENSG00000007376	protein_coding
ENSG00000007384	ENSG00000007384	RHBDF1	RHBDF1:ENSG00000007384	protein_coding
ENSG00000007392	ENSG00000007392	LUC7L	LUC7L:ENSG00000007392	protein_coding
ENSG00000007402	ENSG00000007402	CACNA2D2	CACNA2D2:ENSG00000007402	protein_coding
ENSG00000007516	ENSG00000007516	BAIAP3	BAIAP3:ENSG00000007516	protein_coding
ENSG00000007520	ENSG00000007520	TSR3	TSR3:ENSG00000007520	protein_coding
ENSG00000007541	ENSG00000007541	PIGQ	PIGQ:ENSG00000007541	protein_coding
ENSG00000007545	ENSG00000007545	CRAMP1	CRAMP1:ENSG00000007545	protein_coding
ENSG00000007866	ENSG00000007866	TEAD3	TEAD3:ENSG00000007866	protein_coding
ENSG00000007908	ENSG00000007908	SELE	SELE:ENSG00000007908	protein_coding
ENSG00000007923	ENSG00000007923	DNAJC11	DNAJC11:ENSG00000007923	protein_coding
ENSG00000007933	ENSG00000007933	FMO3	FMO3:ENSG00000007933	protein_coding
ENSG00000007944	ENSG00000007944	MYLIP	MYLIP:ENSG00000007944	protein_coding
ENSG00000007952	ENSG00000007952	NOX1	NOX1:ENSG00000007952	protein_coding
ENSG00000007968	ENSG00000007968	E2F2	E2F2:ENSG00000007968	protein_coding
ENSG00000008018	ENSG00000008018	PSMB1	PSMB1:ENSG00000008018	protein_coding
ENSG00000008056	ENSG00000008056	SYN1	SYN1:ENSG00000008056	protein_coding
ENSG00000008083	ENSG00000008083	JARID2	JARID2:ENSG00000008083	protein_coding
ENSG00000008086	ENSG00000008086	CDKL5	CDKL5:ENSG00000008086	protein_coding
ENSG00000008118	ENSG00000008118	CAMK1G	CAMK1G:ENSG00000008118	protein_coding
ENSG00000008128	ENSG00000008128	CDK11A	CDK11A:ENSG00000008128	protein_coding
ENSG00000008130	ENSG00000008130	NADK	NADK:ENSG00000008130	protein_coding
ENSG00000008196	ENSG00000008196	TFAP2B	TFAP2B:ENSG00000008196	protein_coding
ENSG00000008197	ENSG00000008197	TFAP2D	TFAP2D:ENSG00000008197	protein_coding
ENSG00000008226	ENSG00000008226	DLEC1	DLEC1:ENSG00000008226	protein_coding
ENSG00000008256	ENSG00000008256	CYTH3	CYTH3:ENSG00000008256	protein_coding
ENSG00000008277	ENSG00000008277	ADAM22	ADAM22:ENSG00000008277	protein_coding
ENSG00000008282	ENSG00000008282	SYPL1	SYPL1:ENSG00000008282	protein_coding
ENSG00000008283	ENSG00000008283	CYB561	CYB561:ENSG00000008283	protein_coding
ENSG00000008294	ENSG00000008294	SPAG9	SPAG9:ENSG00000008294	protein_coding
ENSG00000008300	ENSG00000008300	CELSR3	CELSR3:ENSG00000008300	protein_coding
ENSG00000008311	ENSG00000008311	AASS	AASS:ENSG00000008311	protein_coding
ENSG00000008323	ENSG00000008323	PLEKHG6	PLEKHG6:ENSG00000008323	protein_coding
ENSG00000008324	ENSG00000008324	SS18L2	SS18L2:ENSG00000008324	protein_coding
ENSG00000008382	ENSG00000008382	MPND	MPND:ENSG00000008382	protein_coding
ENSG00000008394	ENSG00000008394	MGST1	MGST1:ENSG00000008394	protein_coding
ENSG00000008405	ENSG00000008405	CRY1	CRY1:ENSG00000008405	protein_coding
ENSG00000008438	ENSG00000008438	PGLYRP1	PGLYRP1:ENSG00000008438	protein_coding
ENSG00000008441	ENSG00000008441	NFIX	NFIX:ENSG00000008441	protein_coding
ENSG00000008513	ENSG00000008513	ST3GAL1	ST3GAL1:ENSG00000008513	protein_coding
ENSG00000008516	ENSG00000008516	MMP25	MMP25:ENSG00000008516	protein_coding
ENSG00000008517	ENSG00000008517	IL32	IL32:ENSG00000008517	protein_coding
ENSG00000008710	ENSG00000008710	PKD1	PKD1:ENSG00000008710	protein_coding
ENSG00000008735	ENSG00000008735	MAPK8IP2	MAPK8IP2:ENSG00000008735	protein_coding
ENSG00000008838	ENSG00000008838	MED24	MED24:ENSG00000008838	protein_coding
ENSG00000008853	ENSG00000008853	RHOBTB2	RHOBTB2:ENSG00000008853	protein_coding
ENSG00000008869	ENSG00000008869	HEATR5B	HEATR5B:ENSG00000008869	protein_coding
ENSG00000008952	ENSG00000008952	SEC62	SEC62:ENSG00000008952	protein_coding
ENSG00000008988	ENSG00000008988	RPS20	RPS20:ENSG00000008988	protein_coding
ENSG00000009307	ENSG00000009307	CSDE1	CSDE1:ENSG00000009307	protein_coding
ENSG00000009335	ENSG00000009335	UBE3C	UBE3C:ENSG00000009335	protein_coding
ENSG00000009413	ENSG00000009413	REV3L	REV3L:ENSG00000009413	protein_coding
ENSG00000009694	ENSG00000009694	TENM1	TENM1:ENSG00000009694	protein_coding
ENSG00000009709	ENSG00000009709	PAX7	PAX7:ENSG00000009709	protein_coding
ENSG00000009724	ENSG00000009724	MASP2	MASP2:ENSG00000009724	protein_coding
ENSG00000009765	ENSG00000009765	IYD	IYD:ENSG00000009765	protein_coding
ENSG00000009780	ENSG00000009780	FAM76A	FAM76A:ENSG00000009780	protein_coding
ENSG00000009790	ENSG00000009790	TRAF3IP3	TRAF3IP3:ENSG00000009790	protein_coding
ENSG00000009830	ENSG00000009830	POMT2	POMT2:ENSG00000009830	protein_coding
ENSG00000009844	ENSG00000009844	VTA1	VTA1:ENSG00000009844	protein_coding
ENSG00000009950	ENSG00000009950	MLXIPL	MLXIPL:ENSG00000009950	protein_coding
ENSG00000009954	ENSG00000009954	BAZ1B	BAZ1B:ENSG00000009954	protein_coding
ENSG00000010017	ENSG00000010017	RANBP9	RANBP9:ENSG00000010017	protein_coding
ENSG00000010030	ENSG00000010030	ETV7	ETV7:ENSG00000010030	protein_coding
ENSG00000010072	ENSG00000010072	SPRTN	SPRTN:ENSG00000010072	protein_coding
ENSG00000010165	ENSG00000010165	METTL13	METTL13:ENSG00000010165	protein_coding
ENSG00000010219	ENSG00000010219	DYRK4	DYRK4:ENSG00000010219	protein_coding
ENSG00000010244	ENSG00000010244	ZNF207	ZNF207:ENSG00000010244	protein_coding
ENSG00000010256	ENSG00000010256	UQCRC1	UQCRC1:ENSG00000010256	protein_coding
ENSG00000010270	ENSG00000010270	STARD3NL	STARD3NL:ENSG00000010270	protein_coding
ENSG00000010278	ENSG00000010278	CD9	CD9:ENSG00000010278	protein_coding
ENSG00000010282	ENSG00000010282	HHATL	HHATL:ENSG00000010282	protein_coding
ENSG00000010292	ENSG00000010292	NCAPD2	NCAPD2:ENSG00000010292	protein_coding
ENSG00000010295	ENSG00000010295	IFFO1	IFFO1:ENSG00000010295	protein_coding
ENSG00000010310	ENSG00000010310	GIPR	GIPR:ENSG00000010310	protein_coding
ENSG00000010318	ENSG00000010318	PHF7	PHF7:ENSG00000010318	protein_coding
ENSG00000010319	ENSG00000010319	SEMA3G	SEMA3G:ENSG00000010319	protein_coding
ENSG00000010322	ENSG00000010322	NISCH	NISCH:ENSG00000010322	protein_coding
ENSG00000010327	ENSG00000010327	STAB1	STAB1:ENSG00000010327	protein_coding
ENSG00000010361	ENSG00000010361	FUZ	FUZ:ENSG00000010361	protein_coding
ENSG00000010379	ENSG00000010379	SLC6A13	SLC6A13:ENSG00000010379	protein_coding
ENSG00000010404	ENSG00000010404	IDS	IDS:ENSG00000010404	protein_coding
ENSG00000010438	ENSG00000010438	PRSS3	PRSS3:ENSG00000010438	protein_coding
ENSG00000010539	ENSG00000010539	ZNF200	ZNF200:ENSG00000010539	protein_coding
ENSG00000010610	ENSG00000010610	CD4	CD4:ENSG00000010610	protein_coding
ENSG00000010626	ENSG00000010626	LRRC23	LRRC23:ENSG00000010626	protein_coding
ENSG00000010671	ENSG00000010671	BTK	BTK:ENSG00000010671	protein_coding
ENSG00000010704	ENSG00000010704	HFE	HFE:ENSG00000010704	protein_coding
ENSG00000010803	ENSG00000010803	SCMH1	SCMH1:ENSG00000010803	protein_coding
ENSG00000010810	ENSG00000010810	FYN	FYN:ENSG00000010810	protein_coding
ENSG00000010818	ENSG00000010818	HIVEP2	HIVEP2:ENSG00000010818	protein_coding
ENSG00000010932	ENSG00000010932	FMO1	FMO1:ENSG00000010932	protein_coding
ENSG00000011007	ENSG00000011007	ELOA	ELOA:ENSG00000011007	protein_coding
ENSG00000011009	ENSG00000011009	LYPLA2	LYPLA2:ENSG00000011009	protein_coding
ENSG00000011021	ENSG00000011021	CLCN6	CLCN6:ENSG00000011021	protein_coding
ENSG00000011028	ENSG00000011028	MRC2	MRC2:ENSG00000011028	protein_coding
ENSG00000011052	ENSG00000011052	NME1-NME2	NME1-NME2:ENSG00000011052	protein_coding
ENSG00000011083	ENSG00000011083	SLC6A7	SLC6A7:ENSG00000011083	protein_coding
ENSG00000011105	ENSG00000011105	TSPAN9	TSPAN9:ENSG00000011105	protein_coding
ENSG00000011114	ENSG00000011114	BTBD7	BTBD7:ENSG00000011114	protein_coding
ENSG00000011132	ENSG00000011132	APBA3	APBA3:ENSG00000011132	protein_coding
ENSG00000011143	ENSG00000011143	MKS1	MKS1:ENSG00000011143	protein_coding
ENSG00000011198	ENSG00000011198	ABHD5	ABHD5:ENSG00000011198	protein_coding
ENSG00000011201	ENSG00000011201	ANOS1	ANOS1:ENSG00000011201	protein_coding
ENSG00000011243	ENSG00000011243	AKAP8L	AKAP8L:ENSG00000011243	protein_coding
ENSG00000011258	ENSG00000011258	MBTD1	MBTD1:ENSG00000011258	protein_coding
ENSG00000011260	ENSG00000011260	UTP18	UTP18:ENSG00000011260	protein_coding
ENSG00000011275	ENSG00000011275	RNF216	RNF216:ENSG00000011275	protein_coding
ENSG00000011295	ENSG00000011295	TTC19	TTC19:ENSG00000011295	protein_coding
ENSG00000011304	ENSG00000011304	PTBP1	PTBP1:ENSG00000011304	protein_coding
ENSG00000011332	ENSG00000011332	DPF1	DPF1:ENSG00000011332	protein_coding
ENSG00000011347	ENSG00000011347	SYT7	SYT7:ENSG00000011347	protein_coding
ENSG00000011376	ENSG00000011376	LARS2	LARS2:ENSG00000011376	protein_coding
ENSG00000011405	ENSG00000011405	PIK3C2A	PIK3C2A:ENSG00000011405	protein_coding
ENSG00000011422	ENSG00000011422	PLAUR	PLAUR:ENSG00000011422	protein_coding
ENSG00000011426	ENSG00000011426	ANLN	ANLN:ENSG00000011426	protein_coding
ENSG00000011451	ENSG00000011451	WIZ	WIZ:ENSG00000011451	protein_coding
ENSG00000011454	ENSG00000011454	RABGAP1	RABGAP1:ENSG00000011454	protein_coding
ENSG00000011465	ENSG00000011465	DCN	DCN:ENSG00000011465	protein_coding
ENSG00000011478	ENSG00000011478	QPCTL	QPCTL:ENSG00000011478	protein_coding
ENSG00000011485	ENSG00000011485	PPP5C	PPP5C:ENSG00000011485	protein_coding
ENSG00000011523	ENSG00000011523	CEP68	CEP68:ENSG00000011523	protein_coding
ENSG00000011566	ENSG00000011566	MAP4K3	MAP4K3:ENSG00000011566	protein_coding
ENSG00000011590	ENSG00000011590	ZBTB32	ZBTB32:ENSG00000011590	protein_coding
ENSG00000011600	ENSG00000011600	TYROBP	TYROBP:ENSG00000011600	protein_coding
ENSG00000011638	ENSG00000011638	TMEM159	TMEM159:ENSG00000011638	protein_coding
ENSG00000011677	ENSG00000011677	GABRA3	GABRA3:ENSG00000011677	protein_coding
ENSG00000012048	ENSG00000012048	BRCA1	BRCA1:ENSG00000012048	protein_coding
ENSG00000012061	ENSG00000012061	ERCC1	ERCC1:ENSG00000012061	protein_coding
ENSG00000012124	ENSG00000012124	CD22	CD22:ENSG00000012124	protein_coding
ENSG00000012171	ENSG00000012171	SEMA3B	SEMA3B:ENSG00000012171	protein_coding
